proposal_id,invoice_twin_id,supplier_number,supplier_invoice_number,source_batch_id,source_file_or_chunk,source_line_or_ordinal,idempotency_key,erp_document_number,erp_status,http_status,attempts,idempotency_replay
prp_0000014,twn_9cb5d495fdd360ee,0000000418,0004738,md-6930bcd9db16cc44,KRED_0200_20260416_001.txt,14,blp:acme-ch:prp_0000014:bae94e4cf2a48f7f,AP-2026-0000014,posted,207,1,false
prp_0000015,twn_b43cc5833689e567,0000000418,0004774,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,219,blp:acme-ch:prp_0000015:9705a36fa924f20d,AP-2026-0000015,posted,207,1,false
prp_0000016,twn_d007da933b8024af,0000000418,0004790,md-6930bcd9db16cc44,KRED_0200_20260416_001.txt,46,blp:acme-ch:prp_0000016:c4aa1a94e6c73ed9,,rejected,207,1,false
prp_0000017,twn_d4316d5b1ef714d4,0000000425,0004810,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,343,blp:acme-ch:prp_0000017:7ac4cd54191c4be8,AP-2026-0000016,posted,207,1,false
prp_0000018,twn_60b075cab9e01e69,0000000427,0004767,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,195,blp:acme-ch:prp_0000018:177e2f24e8999956,AP-2026-0000017,posted,207,1,false
prp_0000019,twn_cee10fa5ef260c94,0000000429,0004717,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,26,blp:acme-ch:prp_0000019:84f13a37a66a56b1,AP-2026-0000018,posted,207,1,false
prp_0000020,twn_75fc60df00eef5a0,0000000444,0004727,md-6930bcd9db16cc44,KRED_0200_20260416_001.txt,10,blp:acme-ch:prp_0000020:cc5d4f65eb5fc485,AP-2026-0000019,posted,207,1,false
prp_0000021,twn_eb9c34451a98e648,0000000444,0004752,md-6930bcd9db16cc44,KRED_0200_20260416_001.txt,22,blp:acme-ch:prp_0000021:73327a3713c458f9,AP-2026-0000020,posted,207,1,false
prp_0000022,twn_eaa51cf8672b1e17,0000000445,0004733,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,79,blp:acme-ch:prp_0000022:eecd792d92d34bc4,AP-2026-0000021,posted,207,1,false
prp_0000023,twn_924c989386eecea3,0000000445,0004742,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,111,blp:acme-ch:prp_0000023:0ba49a34604a8148,AP-2026-0000022,posted,207,1,false
prp_0000024,twn_769950dccb5c4552,0000000445,0004755,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,155,blp:acme-ch:prp_0000024:ceec76452b6fc36e,AP-2026-0000023,posted,207,1,false
prp_0000025,twn_510dfebdece2bfe0,0000000445,0004762,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,179,blp:acme-ch:prp_0000025:cc01f434e287d819,AP-2026-0000024,posted,207,1,false
prp_0000026,twn_24d9cd6e04aa3b12,0000000445,0004776,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,227,blp:acme-ch:prp_0000026:daf2bb37e3a38ab0,AP-2026-0000025,posted,207,1,false
prp_0000027,twn_3669444c183c4bd9,0000000448,0004784,md-6930bcd9db16cc44,KRED_0200_20260416_001.txt,42,blp:acme-ch:prp_0000027:7cbb9ef9a0cfd7dd,AP-2026-0000026,posted,207,1,false
prp_0000028,twn_3590605049a7636c,0000000451,0004805,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,323,blp:acme-ch:prp_0000028:cdc5bc6f598ea13a,AP-2026-0000027,posted,207,1,false
prp_0000029,twn_fd02d2af78a9c2be,0000000456,0004731,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,71,blp:acme-ch:prp_0000029:347d6dba9c16e34b,AP-2026-0000028,posted,207,1,false
prp_0000030,twn_55fcec6d47f3b1a8,0000000456,0004771,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,207,blp:acme-ch:prp_0000030:1d6eaef78d3ab35f,AP-2026-0000029,posted,207,1,false
prp_0000031,twn_ecb62d8370c83bf5,0000000456,0004796,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,291,blp:acme-ch:prp_0000031:86a6839932bd10ec,AP-2026-0000030,posted,207,1,false
prp_0000032,twn_e3eef1033d55809d,0000000460,0004740,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,103,blp:acme-ch:prp_0000032:ab2fda28fe981eb5,AP-2026-0000031,posted,207,1,false
prp_0000033,twn_73e9e62a1592fa69,0000000462,0004746,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,127,blp:acme-ch:prp_0000033:3f1916ae7e7867e1,AP-2026-0000032,posted,207,1,false
prp_0000034,twn_a3fe1f408361fa80,0000000466,0004775,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,223,blp:acme-ch:prp_0000034:086d84e4514b15db,AP-2026-0000033,posted,207,1,false
prp_0000035,twn_d6dd7b28363757f0,0000000467,0004747,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,131,blp:acme-ch:prp_0000035:e5ede9f113febc7f,AP-2026-0000034,posted,207,1,false
prp_0000036,twn_48799c65648730e7,0000000473,0004765,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,191,blp:acme-ch:prp_0000036:75d31249d1753e4e,AP-2026-0000035,posted,207,1,false
prp_0000037,twn_2fd9df2210b77de1,0000000473,0004787,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,263,blp:acme-ch:prp_0000037:1efa7085807da217,AP-2026-0000036,posted,207,1,false
prp_0000038,twn_957ee609704ec494,0000000474,0004788,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,267,blp:acme-ch:prp_0000038:6e40477a93853436,AP-2026-0000037,posted,207,1,false
prp_0000039,twn_fc0208ac22fd4405,0000000475,0004734,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,83,blp:acme-ch:prp_0000039:6bdd1e447bbf8a74,AP-2026-0000038,posted,207,1,false
prp_0000040,twn_db2eec45c46f66c8,0000000475,0004778,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,235,blp:acme-ch:prp_0000040:da4ddd55bd58ce5a,AP-2026-0000039,posted,207,1,false
prp_0000041,twn_0b621f7b2a6e34d3,0000000475,0004792,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,279,blp:acme-ch:prp_0000041:bf6aba5d3cefb690,AP-2026-0000040,posted,207,1,false
prp_0000042,twn_0f907b1680643377,0000000492,0004725,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,51,blp:acme-ch:prp_0000042:ba49828e02f20f1c,AP-2026-0000041,posted,207,1,false
prp_0000043,twn_0176cb2c006cc6f3,0000000494,0004757,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,163,blp:acme-ch:prp_0000043:293e4ffb25afa881,AP-2026-0000042,posted,207,1,false
prp_0000044,twn_d416e3c7d3bf30a7,0000000494,0004807,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,331,blp:acme-ch:prp_0000044:37ef9f891840d14c,AP-2026-0000043,posted,207,1,false
prp_0000045,twn_0a2bdc7bc43e6020,0000000495,0004760,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,171,blp:acme-ch:prp_0000045:8629510a518ecefd,AP-2026-0000044,posted,207,1,false
prp_0000046,twn_21f7e35ae27c7e00,0000000496,0004748,md-6930bcd9db16cc44,KRED_0200_20260416_001.txt,18,blp:acme-ch:prp_0000046:299d9abdf35a39d3,AP-2026-0000045,posted,207,1,false
prp_0000047,twn_fa6be99be75dcaee,0000000496,0004766,md-6930bcd9db16cc44,KRED_0200_20260416_001.txt,30,blp:acme-ch:prp_0000047:d9e8b86a30b297f3,AP-2026-0000046,posted,207,1,false
prp_0000048,twn_78ab211a3cbbb006,0000000496,0004781,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,247,blp:acme-ch:prp_0000048:ac377c1c2ed39f9d,AP-2026-0000047,posted,207,1,false
prp_0000049,twn_fa31051c57ecc11c,0000000496,0004806,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,327,blp:acme-ch:prp_0000049:e94f906da6d07b80,AP-2026-0000048,posted,207,1,false
prp_0000050,twn_f5c1225555fb2cd8,0000000498,0004802,md-6930bcd9db16cc44,KRED_0200_20260416_001.txt,54,blp:acme-ch:prp_0000050:1c3291d987dbbda5,AP-2026-0000049,posted,207,1,false
prp_0000051,twn_280665d4fa0525a6,0000000501,0004808,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,335,blp:acme-ch:prp_0000051:84b914df8b0c7751,AP-2026-0000050,posted,207,1,false
prp_0000052,twn_bbd974aa99ad7e31,0000000515,0004798,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,299,blp:acme-ch:prp_0000052:0813025a78fdda83,AP-2026-0000051,posted,207,1,false
prp_0000053,twn_634a7f6c760fc45d,0000000516,0004789,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,271,blp:acme-ch:prp_0000053:5e6ed60a79e7de3b,AP-2026-0000052,posted,207,1,false
prp_0000054,twn_78e2c812c139c867,0000000527,0004718,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,31,blp:acme-ch:prp_0000054:f340cb22637b8813,AP-2026-0000053,posted,207,1,false
prp_0000055,twn_a721e797e6d901d2,0000000527,0004728,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,59,blp:acme-ch:prp_0000055:e67b54761727b89c,AP-2026-0000054,posted,207,1,false
prp_0000056,twn_ef51c1abf5247bfa,0000000527,0004753,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,147,blp:acme-ch:prp_0000056:1e23b0f0556f6905,AP-2026-0000055,posted,207,1,false
prp_0000057,twn_e22e89dc6ab8f340,0000000528,0004782,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,251,blp:acme-ch:prp_0000057:038460ee7f1a36a6,AP-2026-0000056,posted,207,1,false
prp_0000058,twn_273a149895594cb4,0000000529,0004793,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,283,blp:acme-ch:prp_0000058:efa52863af217f06,AP-2026-0000057,posted,207,1,false
prp_0000059,twn_0562dcd2e55b06e8,0000000529,0004809,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,339,blp:acme-ch:prp_0000059:ac2f1a6b1bf3ec19,AP-2026-0000058,posted,207,1,false
prp_0000060,twn_b3b75435f00a0dc7,0000000530,0004745,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,123,blp:acme-ch:prp_0000060:4c2775f561ecca6d,AP-2026-0000059,posted,207,1,false
prp_0000061,twn_288ac335806095a5,0000000536,0004769,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,199,blp:acme-ch:prp_0000061:5fd42502bb7a4f05,AP-2026-0000060,posted,207,1,false
prp_0000062,twn_82fc30a427b0f968,0000000540,0004732,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,75,blp:acme-ch:prp_0000062:e11b21161cd01844,AP-2026-0000061,posted,207,1,false
prp_0000063,twn_a7ddfd571b68a6b2,0000000544,0004758,md-6930bcd9db16cc44,KRED_0200_20260416_001.txt,26,blp:acme-ch:prp_0000063:e6a253dffe2d0e3e,AP-2026-0000062,posted,207,1,false
prp_0000064,twn_f4ac6dd6e857d4e6,0000000544,0004795,md-6930bcd9db16cc44,KRED_0200_20260416_001.txt,50,blp:acme-ch:prp_0000064:c012bee0ac1aed56,AP-2026-0000063,posted,207,1,false
prp_0000065,twn_32bed2ee00700307,0000000546,0004761,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,175,blp:acme-ch:prp_0000065:02798aab42d3451a,AP-2026-0000064,posted,207,1,false
prp_0000066,twn_8cc54b093677b230,0000000546,0004773,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,215,blp:acme-ch:prp_0000066:8bac71e64d5744f6,AP-2026-0000065,posted,207,1,false
prp_0000067,twn_6807fde17e16f78a,0000000551,0004721,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,39,blp:acme-ch:prp_0000067:64169d52b8424d23,AP-2026-0000066,posted,207,1,false
prp_0000068,twn_15132e458ba0b50f,0000000553,0004800,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,307,blp:acme-ch:prp_0000068:77e81b83913a1dab,AP-2026-0000067,posted,207,1,false
prp_0000069,twn_11e890fe89d69bda,0000000561,0004737,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,95,blp:acme-ch:prp_0000069:37e00e5c3eba9a4d,AP-2026-0000068,posted,207,1,false
prp_0000070,twn_61c4421ccc4a00a1,0000000565,0004735,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,87,blp:acme-ch:prp_0000070:52c2aa0ab74c940f,AP-2026-0000069,posted,207,1,false
prp_0000071,twn_5989a6fd3a520216,0000000570,0004801,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,311,blp:acme-ch:prp_0000071:da856fd90997e984,AP-2026-0000070,posted,207,1,false
prp_0000072,twn_125a42b4300e44ac,0000000574,0004724,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,47,blp:acme-ch:prp_0000072:077d58d6b61ad5ae,AP-2026-0000071,posted,207,1,false
prp_0000073,twn_11a80dafb28e8eae,0000000592,0004726,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,55,blp:acme-ch:prp_0000073:7d0c1367c0e00519,AP-2026-0000072,posted,207,1,false
prp_0000074,twn_e10f585e2565d09c,0000000596,0004780,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,243,blp:acme-ch:prp_0000074:b448abf923f7a21e,AP-2026-0000073,posted,207,1,false
prp_0000075,twn_55b9d495c84139ad,0000000607,0004754,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,151,blp:acme-ch:prp_0000075:e8defab36c11464b,AP-2026-0000074,posted,207,1,false
prp_0000076,twn_edb88b0f751acb95,0000000608,0004744,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,119,blp:acme-ch:prp_0000076:36d4b30dfe1cb076,AP-2026-0000075,posted,207,1,false
prp_0000077,twn_b3f59e942b65fafd,0000000608,0004764,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,187,blp:acme-ch:prp_0000077:d25ddc242c3e2cb3,AP-2026-0000076,posted,207,1,false
prp_0000078,twn_089629175eb71796,0000000609,0004723,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,43,blp:acme-ch:prp_0000078:750f453b11e5485a,AP-2026-0000077,posted,207,1,false
prp_0000079,twn_07eafd77004fc5c1,0000000609,0004730,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,67,blp:acme-ch:prp_0000079:d1db77abf17005b0,AP-2026-0000078,posted,207,1,false
prp_0000080,twn_07155aea8a177589,0000000617,0004719,md-6930bcd9db16cc44,KRED_0200_20260416_001.txt,2,blp:acme-ch:prp_0000080:54c9ee116dd8dfdf,AP-2026-0000079,posted,207,1,false
prp_0000081,twn_1f03ca078fa44255,0000000624,0004779,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,239,blp:acme-ch:prp_0000081:ce092ca70d9cb57b,AP-2026-0000080,posted,207,1,false
prp_0000082,twn_f92881f87ec32778,0000000625,0004750,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,139,blp:acme-ch:prp_0000082:32ad43e753baecb8,AP-2026-0000081,posted,207,1,false
prp_0000083,twn_eb12b119eae66ba6,0000000625,0004799,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,303,blp:acme-ch:prp_0000083:98ebe4ec6abde566,AP-2026-0000082,posted,207,1,false
prp_0000084,twn_cd14f99c1594ba5f,0000000635,0004739,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,99,blp:acme-ch:prp_0000084:8ec5a93aa81968fb,AP-2026-0000083,posted,207,1,false
prp_0000085,twn_099d9aa914ea43bf,0000000638,0004759,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,167,blp:acme-ch:prp_0000085:1df1c93ee1d7384e,AP-2026-0000084,posted,207,1,false
prp_0000086,twn_03da73b77492b489,0000000638,0004785,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,255,blp:acme-ch:prp_0000086:82dbdd786a620330,AP-2026-0000085,posted,207,1,false
prp_0000087,twn_c7453eb85d9ac210,0000000639,0004794,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,287,blp:acme-ch:prp_0000087:444db5db58c54ff8,AP-2026-0000086,posted,207,1,false
